news_outlet,provenance,query_keywords,creation_date,last_modified,crawl_date,author_person,author_organization,news_keywords,content_title,content_description,content_body
ntv,https://www.n-tv.de/sport/fussball/Das-mysterioese-Loch-in-Rangnicks-Rasen-article23381659.html,"ns, us, sp, usa, ss, linke, demo, frankreich, spo",07.06.2022,07.06.2022,21.10.2024,,"ntv.de, ter","Fußball, Ralf Rangnick",Das mysteriöse Loch in Rangnicks Rasen,Ralf Rangnick startet stark in seine Ära als Fußball-Nationaltrainer Österreichs. Doch das Heimdebüt des ehemaligen Bundesligatrainers in der Nations League gegen Dänemark produziert mehrere Kuriositäten - nur eine davon ist das Ergebnis. ,
ntv,https://www.n-tv.de/sport/fussball/DFB-Coach-Flick-sorgt-fuer-Kader-Uberraschung-article23590543.html,"ns, us, rna, schi, ss, leiche, sp",15.09.2022,15.09.2022,21.10.2024,,"ntv.de, tno","Fußball, Fußball, DFB, Fußball-Nationalmannschaft, Hansi Flick",DFB-Coach Flick sorgt für Kader-Überraschung,"Die deutsche Fußball-Nationalmannschaft startet in die entscheidende Phase der WM-Vorbereitung. Der Nations-League-Doppelspieltag ist der letzte Lehrgang vor Katar. Der Bundestrainer verzichtet dafür weiterhin auf zwei Ex-Weltmeister, sorgt aber für eine Überraschung.",
ntv,https://www.n-tv.de/sport/fussball-em/DFB-Kapitaenin-Popp-warnt-vor-euphorisiertem-Osterreich-article23470099.html,"ns, us, schi, ss, leiche, frankreich, sp",17.07.2022,17.07.2022,21.10.2024,,"ntv.de, Ulrike John, dpa","Europameisterschaften, DFB-Frauen, Martina Voss-Tecklenburg",DFB-Kapitänin Popp warnt vor euphorisiertem Österreich,"Mit einer makellosen Vorrundenbilanz gehen die DFB-Frauen ins EM-Viertelfinale gegen Österreich. Dort gibt es ein Wiedersehen mit Bekannten - und die sind wild entschlossen, dem Rekord-Europameister ein Bein zu stellen. Alexandra Popp erwartet Gegnerinnen, die bis zur Erschöpfung kämpfen.",
ntv,https://www.n-tv.de/sport/fussball-em/Frohms-Paraden-sind-Schults-Pech-article23471598.html,"ns, sp, ss, us",18.07.2022,18.07.2022,21.10.2024,,"ntv.de, tno/sid","Frauenfußball, Fußball, Europameisterschaften, Martina Voss-Tecklenburg",Frohms Paraden sind Schults Pech,"Dem Druck standgehalten, die Null steht: Merle Frohms ist bei der EM als Nummer eins der deutschen Nationalmannschaft aus Almuth Schults Schatten herausgetreten. Der Torwart-Trainer des Teams bescheinigt ihr sogar ein paar Parallelen zu Manuel Neuer.",
ntv,https://www.n-tv.de/wirtschaft/Schroeder-Habe-Gazprom-Angebot-ausgeschlagen-article23354944.html,"ns, us, sp, ukraine, spd, ss, linke, spo, olaf scholz",24.05.2022,25.05.2022,21.10.2024,,"ntv.de, jog/dpa","Wirtschaft, Gerhard Schröder, Gazprom, Rosneft, Sanktionen, Angriff auf die Ukraine",Schröder: Habe Gazprom-Angebot ausgeschlagen,"Altkanzler Schröder wird keinen Posten im Gazprom-Aufsichtsrat übernehmen. Das stellt der SPD-Politiker, der zuletzt auch den Aufsichtsratsvorsitz bei Rosneft aufgab, bei Linkedin klar. ",
ntv,https://www.n-tv.de/sport/fussball/Missbrauch-sorgt-fuer-Aufruhr-im-US-Fussball-article22844632.html,"ns, us, schi, christ, ss, sp",04.10.2021,04.10.2021,21.10.2024,,"ntv.de, Ulrike John und Christian Hollmann, dpa ","Fußball, USA, Fußball, Sexuelle Belästigung, Sexueller Missbrauch",Missbrauch sorgt für Aufruhr im US-Fußball,"Im US-Fußball werden immer mehr Anschuldigungen öffentlich, wonach Klub- und Ligapersonal einen Missbrauchsskandal produziert haben. Die einen durch Worte und Taten, die anderen durch Unterlassung. Die Vorwürfe sind massiv, die Worte auch. Am Wochenende gibt es Konsequenzen.",
ntv,https://www.n-tv.de/sport/fussball/Bundesliga-Keeper-musste-Laufen-neu-lernen-article22862986.html,"ns, us, sp, rna, usa, christ, ss, spo",13.10.2021,13.10.2021,21.10.2024,,"ntv.de, tsi","Fußball, Fußball-Bundesliga, 2. Fußball-Bundesliga, 1.FSV Mainz 05, Fußball",Bundesliga-Keeper musste Laufen neu lernen,"Dass Dimo Wache wieder als Torwarttrainer arbeitet, grenzt an ein Wunder. Denn der Körper des 47-Jährigen ist ramponiert von der Karriere als Keeper. 35 Operationen haben Spuren hinterlassen. Vor allem die jüngsten zweieinhalb Jahre sind ein einziger Kampf um Lebensqualität.",
ntv,https://www.n-tv.de/politik/Serbien-bezieht-weiter-guenstiges-Erdgas-aus-Russland-Souveraene-Politik-durch-Westen-erschwert-article23363173.html,"ns, us, europa, politik, eu-beitritt, regierung, usa, ukraine, ss, sp, krieg",29.05.2022,30.05.2022,21.10.2024,,"ntv.de, jwu/dpa","Politik, Erdgas, Angriff auf die Ukraine, Wladimir Putin, EU, Kriege und Konflikte, Sanktionen",Serbien sichert sich billiges Erdgas aus Russland,"Belgrad will in die EU und entzieht sich bislang aber allen Sanktionen der Staatengemeinschaft gegen Moskau. In einem Telefonat mit Kremlchef Putin verlängert Präsident Vicic zu beispiellos günstigen Konditionen den Gas-Liefervertrag. Zugleich klagt er, dass auf Druck des Westens eine ""souveräne Politik"" wohl bald vorbei sei.",
ntv,https://www.n-tv.de/politik/Grosse-Klappe-und-was-dahinter-article24693336.html,"ns, us, europa, sp, politik, schi, ukraine, spd, christ, ss, demo, afd, cdu, spo, fdp, krieg, christian lindner, alice weidel, friedrich merz",28.01.2024,28.01.2024,20.10.2024,Volker Petersen,ntv.de,"Politik, Marie-Agnes Strack-Zimmermann, Deutsche Verteidigungspolitik, Deutscher Bundestag, FDP, Europa, EU-Parlament, EU, Brüssel, Straßburg, Ukraine, Debatte um Waffenlieferungen, Christian Lindner, AfD, Rechtspopulismus, Wahlen",Große Klappe und was dahinter,"Dass die FDP Marie-Agnes Strack-Zimmermann im Europawahlkampf nach vorne schickt, ist ein starkes Zeichen. Die Verteidigungspolitikerin ist die beste und prominenteste Rednerin ihrer Partei und könnte auch das schaffen, was am dringendsten nötig ist.",
ntv,https://www.n-tv.de/ratgeber/Die-Tuecken-des-Heizens-mit-der-Waermepumpe-article21742019.html,"ns, us, europa, rna, familie, schi, photovoltaik, ss, sp, klima",08.05.2020,08.05.2020,21.10.2024,,"ntv.de, Katja Fischer, dpa","Ratgeber, Energiepolitik, Heizkosten, Immobilien, Heizung, KfW",Die Tücken des Heizens mit der Wärmepumpe ,"Manche Wärmepumpe strapaziert die Nerven der Nachbarn in einer dicht bebauten Siedlung. Das lässt sich aber vermeiden, wenn man ein paar Tipps bei der Planung berücksichtigt.",
ntv,https://www.n-tv.de/sport/fussball/DFB-Rumpfteam-ueberfordert-auch-Armenien-article22930098.html,"ns, us, schi, ss, linke, rki, frankreich, sp, corona",14.11.2021,14.11.2021,21.10.2024,,"ntv.de, tsi/sid","Fußball, Hansi Flick, DFB, Fußball-Nationalmannschaft, Ilkay Gündogan, WM-Qualifikation, Fußball-WM 2022 in Katar, Fußball, Kai Havertz, Marc-André ter Stegen, Thomas Müller, Leroy Sané",DFB-Rumpfteam überfordert auch Armenien,Die deutsche Fußball-Nationalmannschaft schließt das Jahr 2021 erfolgreich ab: Auch im letzten Spiel der WM-Qualifikation gegen Armenien ist das Team von Trainer Hansi Flick dem Gegner deutlich überlegen. Damit hält dessen beeindruckende Serie weiter an.,
ntv,https://www.n-tv.de/wissen/Olkonzern-leugnet-Klima-Folgen-ueber-Jahre-article22876586.html,"ns, us, rna, amerika, energiewende, usa, klimawandel, christ, ss, frankreich, sp, klima",20.10.2021,05.06.2022,21.10.2024,,"ntv.de, Laure Fillon, AFP","Bildung, Frankreich, Studien, Energieunternehmen, Klimawandel",Ölkonzern leugnet Klima-Folgen über Jahre,"Der französische Energiekonzern Total sträubt sich lange, die Verbrennung fossiler Energieträger zu beenden. Schäden für die Umwelt werden konsequent heruntergespielt. Dabei weiß der Konzern ganz genau um die Konsequenzen - und zwar bereits seit 50 Jahren. Das enthüllt eine aktuelle Studie. ",
ntv,https://www.n-tv.de/sport/fussball-em/Pure-Liebe-fuer-Goretzkas-Herz-gegen-den-Hass-article22640486.html,"ns, us, rassismus, politik, regierung, ss, sp, europäische union",24.06.2021,24.06.2021,21.10.2024,,"ntv.de, ara/sid","Fußball-EM 2020, Leon Goretzka, Fußball-Nationalmannschaft, Soziale Netzwerke",Pure Liebe für Goretzkas Herz gegen den Hass,"Leon Goretzka ist der Held der deutschen Fußball-Nationalmannschaft. Sein später Treffer zum Remis gegen Ungarn sorgt für den Einzug ins Achtelfinale der Europameisterschaft. Noch viel mehr ein Held ist er für viele aber aufgrund der Geste, die er folgen lässt.",
ntv,https://www.n-tv.de/sport/fussball-em/Ungarische-Fans-machen-schlechtem-Ruf-alle-Ehre-article22631346.html,"ns, grenzen, europa, us, hitler, schi, nazi, ss, frankreich, sp",20.06.2021,20.06.2021,21.10.2024,,"ntv.de, tsi","Ungarn, Fußball, Fußball-EM 2020, Europameisterschaften, Rassismus, Diskriminierung, Gewalt","Ungarische Fans machen schlechtem Ruf alle ""Ehre""",Als ein Ziel des internationalen Sports gilt die Völkerverständigung. Teile der Fans bei den EM-Spielen im ungarischen Budapest scheinen damit allerdings ein Problem zu haben. Sie beleidigen gegnerische Spieler Berichten zufolge gezielt rassistisch. Vor allem eine Gruppe rückt in den Fokus.,
