iter	MultiClass
0	2.155216479
1	2.031624407
2	1.939368507
3	1.862355935
4	1.805412243
5	1.748319085
6	1.694796523
7	1.660180786
8	1.623991976
9	1.596908179
10	1.56201512
11	1.530323451
12	1.50760379
13	1.485545032
14	1.464809496
15	1.445865325
16	1.429520208
17	1.413357325
18	1.398350858
19	1.38045411
20	1.365770216
21	1.35172827
22	1.334663874
23	1.321813908
24	1.308353462
25	1.295745382
26	1.286171311
27	1.277083889
28	1.267253999
29	1.257262576
30	1.248108798
31	1.238316368
32	1.230836315
33	1.224150085
34	1.218320486
35	1.210774155
36	1.203413133
37	1.196326799
38	1.18892476
39	1.180607496
40	1.173183612
41	1.166867731
42	1.162900053
43	1.15926291
44	1.153246392
45	1.146895678
46	1.139151992
47	1.135913931
48	1.129415074
49	1.123647414
50	1.116818063
51	1.111775299
52	1.108278964
53	1.102210602
54	1.098980364
55	1.09484287
56	1.086780389
57	1.082842671
58	1.077750296
59	1.073135079
60	1.069531026
61	1.061139847
62	1.056949007
63	1.051965377
64	1.045541714
65	1.040669323
66	1.033227304
67	1.028195821
68	1.02069519
69	1.014759182
70	1.010313263
71	1.006985742
72	1.004185572
73	0.9967791891
74	0.9917184972
75	0.9870438136
76	0.9810051166
77	0.9748914306
78	0.9700416322
79	0.9626179628
80	0.9576741883
81	0.9501338141
82	0.9449610454
83	0.9399163733
84	0.9343455986
85	0.9307403093
86	0.9230102862
87	0.9183948161
88	0.9157372054
89	0.9088943503
90	0.9028635854
91	0.8973077311
92	0.8931726141
93	0.8898092035
94	0.885257491
95	0.8818493816
96	0.8781113967
97	0.8730035167
98	0.8687799271
99	0.8619839724
100	0.8589532228
101	0.8540190427
102	0.851336346
103	0.8458811689
104	0.8420356443
105	0.8371953811
106	0.8334657704
107	0.8314210204
108	0.8285321975
109	0.8214599215
110	0.816979295
111	0.8113001402
112	0.8061080557
113	0.8006669727
114	0.7971649481
115	0.7945931949
116	0.791936267
117	0.7870480069
118	0.7823691469
119	0.7775923954
120	0.7710524638
121	0.7673089412
122	0.7635910484
123	0.7592055125
124	0.7500255802
125	0.7448905261
126	0.7387843582
127	0.7354203947
128	0.7298685031
129	0.7259019747
130	0.7232040514
131	0.7195249061
132	0.7144028899
133	0.7103729957
134	0.7059901527
135	0.7039027446
136	0.6994685405
137	0.6954582875
138	0.690204272
139	0.6849422237
140	0.6817874702
141	0.6791748468
142	0.6768671874
143	0.6733786016
144	0.6702126483
145	0.6670449127
146	0.6629669176
147	0.6587954874
148	0.6554614119
149	0.651974545
150	0.6496730582
151	0.6463357715
152	0.6435619957
153	0.6387263822
154	0.6356344475
155	0.6313433544
156	0.6270105757
157	0.622151871
